INFO   | jvm 1    | 2019/02/06 19:31:57 | 0005000008新增flmeterdata放弃,异常数据总累积量：568057928抛弃原文: 68000500000805806888c3c4004b100200050000161902061933150004006cdc00020066664100000000168a3d42b6000000000089e04821db0000000000000000cccd3f4c0000000000000a3e3fb70000000000a80667b0006f16
INFO   | jvm 1    | 2019/02/06 19:32:58 | 0005000005新增flmeterdata放弃,异常数据总累积量：86374抛弃原文: 68000500000519006888c3c4004b1002000500001119020619330003000000000000a13a420fa13a420fa13a420fa66642ca00000051660001861444bb0000000000000000000000000000eb86401180000000005166000100cc16
INFO   | jvm 1    | 2019/02/06 19:33:39 | 0005000004新增flmeterdata放弃,异常数据标况总量：573453标况流量：1126987203抛弃原文: 68000500000406406888c3c4004b100200050000101902061935c00d0008c00d000875c3432c0000434870a44105000042a8000000c00d00088b38473c0000000000000000000000000000a3d843188000000000f230000100c316
INFO   | jvm 1    | 2019/02/06 19:34:21 | 0005000014新增flmeterdata放弃,异常数据总累积量：8762抛弃原文: 6800050000140d406888c3c4004b100200050000251902061938000000000000000000000000000000000000000000000000000000223a0000199a44c40000000000000000000000000000147c3fce8000000000223a000000ce16
INFO   | jvm 1    | 2019/02/06 19:36:34 | 0005000013新增flmeterdata放弃,异常数据标况总量：209408标况流量：1121486111抛弃原文: 6800050000131c006888c3c4004b1002000500002419020619353200000332000003851f42d8e66642f93333416b947b42ac000000320000033014464200000000000000000000000000000a3e3fb7800000000031d50003008e16
INFO   | jvm 1    | 2019/02/06 19:42:36 | 0005000013新增flmeterdata放弃,异常数据标况总量：209420标况流量：1121376010抛弃原文: 6800050000131cc06888c3c4004b100200050000241902061941320c0003320c0003d70a42d6f0a442f73333416b947b42ac000000320c0003eb70464100000000000000000000000000000a3e3fb7800000000031e10003002116
INFO   | jvm 1    | 2019/02/06 19:46:08 | 0005000015新增flmeterdata放弃,异常数据标况总量：61913标况流量：1129183628抛弃原文: 6800050000150e006888c3c4004b100200050000261902061945f1d900000ef90001f98c434d3759436cf5294195004a42b0000036f1d9000051fe480400000000000000000000000000008f5d3fc28000000000f17c000000d916
INFO   | jvm 1    | 2019/02/06 19:47:30 | 0005000017新增flmeterdata放弃,异常数据总累积量：79657抛弃原文: 68000500001702c06888c3c4004b1002000500002819020619520000000000000000000000000000000000000000000000000000003729000135c345490000000000000000000000000000eb864011800000000037290001005d16
INFO   | jvm 1    | 2019/02/06 19:48:42 | 0005000013新增flmeterdata放弃,异常数据标况总量：209433标况流量：1121362903抛弃原文: 6800050000131d806888c3c4004b1002000500002419020619473219000332190003a3d742d6eb8542f7999a416d947b42ac00000032190003a114464100000000000000000000000000000a3e3fb7800000000031ee000300ba16
INFO   | jvm 1    | 2019/02/06 19:52:14 | 0005000015新增flmeterdata放弃,异常数据标况总量：61934标况流量：1129210293抛弃原文: 6800050000150ec06888c3c4004b100200050000261902061951f1ee00000f11000161b5434ed6db436bc8c4418e163842b0000039f1ee00004a03480400000000000000000000000000008f5d3fc28000000000f1910000001b16
INFO   | jvm 1    | 2019/02/06 19:54:05 | 0005000007新增flmeterdata放弃,异常数据总累积量：29928抛弃原文: 68000500000714406888c3c4004b10020005000014190206195774e800007dc9000000000000000000005b2e41d050dc42c000002074e80000c66643ea000000000000000000000000000085203fcb800000000074e80000001016
INFO   | jvm 1    | 2019/02/06 19:54:48 | 0005000013新增flmeterdata放弃,异常数据标况总量：209445标况流量：1121360282抛弃原文: 6800050000131e406888c3c4004b1002000500002419020619543225000332250003999a42d6199a42f800004170947b42ac000000322500035c71464100000000000000000000000000000a3e3fb7800000000031fa0003009d16
INFO   | jvm 1    | 2019/02/06 19:57:23 | 0005000012新增flmeterdata放弃,异常数据总累积量：5427抛弃原文: 6800050000121fc06888c3c4004b100200050000231902062002000000000000000000000000000000000000000000000000000000153300004eb844100000000000000000000000000000147c3fce80000000001533000000a416
INFO   | jvm 1    | 2019/02/06 19:58:14 | 0005000015新增flmeterdata放弃,异常数据标况总量：61953标况流量：1127604725抛弃原文: 6800050000150f806888c3c4004b100200050000261902061957f20100000f260001e1f543359d36434c93b8418b9d1f42b2000041f201000042cb480400000000000000000000000000008f5d3fc28000000000f1a4000000d016
INFO   | jvm 1    | 2019/02/06 19:59:25 | 0003600003新增flmeterdata放弃,异常数据单价：1065353216抛弃原文: 6800036000030e406888c3c4004b10020003100005190206195700400000004200000000000000000000b5dc41d74efb42c8000000ec5200008e00471a000000000000000000000000000000003f80810000000000000000008416
INFO   | jvm 1    | 2019/02/06 19:59:26 | 0003600003新增flmeterdata放弃,异常数据单价：1065353216抛弃原文: 6800036000030e806888c3c4004b100200031000061902061957000000000000000000000000000000000000000000000000000000bd010000e6004749000000000000000000000000013f00003f80810000000000000000008e16
INFO   | jvm 1    | 2019/02/06 20:00:49 | 0005000013新增flmeterdata放弃,异常数据标况总量：209460标况流量：1121497907抛弃原文: 6800050000131f006888c3c4004b1002000500002419020620003234000332340003b33342d851ec42fa999a416d947b42ac0000003234000306a4464100000000000000000000000000000a3e3fb7800000000032090003009c16
INFO   | jvm 1    | 2019/02/06 20:03:03 | 0005000005新增flmeterdata放弃,异常数据总累积量：86383抛弃原文: 6800050000051bc06888c3c4004b1002000500001119020620040003000000000000a13a420fa13a420fa13a420fa66642ca000000516f0001f57144b80000000000000000000000000000eb8640118000000000516f0001004116
INFO   | jvm 1    | 2019/02/06 20:04:24 | 0005000014新增flmeterdata放弃,异常数据总累积量：8762抛弃原文: 68000500001410006888c3c4004b100200050000251902062008000000000000000000000000000000000000000000000000000000223a0000199a44c40000000000000000000000000000147c3fce8000000000223a0000006816
INFO   | jvm 1    | 2019/02/06 20:04:24 | 0005000015新增flmeterdata放弃,异常数据标况总量：61974标况流量：1127641820抛弃原文: 68000500001510406888c3c4004b100200050000261902062004f21600000f3e000172dc4336ef8e434c23c341889f9442b2000043f21600003ad0480400000000000000000000000000008f5d3fc28000000000f1b9000000cd16
INFO   | jvm 1    | 2019/02/06 20:06:58 | 0005000013新增flmeterdata放弃,异常数据标况总量：209472标况流量：1121449411抛弃原文: 6800050000131fc06888c3c4004b1002000500002419020620063240000332400003f5c342d775c342f9999a416d947b42ac00000032400003c200464000000000000000000000000000000a3e3fb7800000000032150003007416
INFO   | jvm 1    | 2019/02/06 20:09:49 | 0005000004新增flmeterdata放弃,异常数据标况总量：573545标况流量：1126957711抛弃原文: 68000500000409c06888c3c4004b100200050000101902062011c0690008c0690008028f432ca66643476666410a000042a8000000c0690008ff61473b00000000000000000000000000008f5d3fc28000000000f28c0001006d16
INFO   | jvm 1    | 2019/02/06 20:10:29 | 0005000015新增flmeterdata放弃,异常数据标况总量：61992标况流量：1127643990抛弃原文: 68000500001511006888c3c4004b100200050000261902062010f22800000f5200017b564336cfac434cf6fb418598bc42b2000045f228000033f9480400000000000000000000000000008f5d3fc28000000000f1cb000000b216
